,brain
ENSMUST00000193812,0.0
ENSMUST00000082908,0.0
ENSMUST00000162897,3.0269993000000004
ENSMUST00000159265,1.7842745
ENSMUST00000070533,2.4117123
ENSMUST00000192857,0.4380069
ENSMUST00000195335,1.1708217
ENSMUST00000192336,2.3262414
ENSMUST00000194099,0.3540302
ENSMUST00000161581,0.0
ENSMUST00000192973,0.3675867
ENSMUST00000192183,0.7036691
ENSMUST00000195166,0.4595197
ENSMUST00000192692,2.0038782
ENSMUST00000193244,0.1393381
ENSMUST00000194454,0.0
ENSMUST00000157708,0.0
ENSMUST00000194643,0.0
ENSMUST00000192427,0.0
ENSMUST00000208660,0.0434781
ENSMUST00000195384,0.4004682
ENSMUST00000208793,0.0
ENSMUST00000027032,0.009803
ENSMUST00000194382,0.0
ENSMUST00000027035,0.8970239
ENSMUST00000195555,0.3835401
ENSMUST00000192650,0.0449932
ENSMUST00000116652,0.349754
ENSMUST00000192505,0.1480838
ENSMUST00000191647,0.0502295
ENSMUST00000191939,0.7492591
ENSMUST00000192913,0.0
ENSMUST00000193450,0.0081394
ENSMUST00000194935,0.0206869
ENSMUST00000195361,0.1137103999999999
ENSMUST00000180019,12.4667599
ENSMUST00000193889,0.0
ENSMUST00000195771,0.0033975
ENSMUST00000192738,3.6710632
ENSMUST00000182774,1.9853759
ENSMUST00000193443,1.1871839
ENSMUST00000157375,0.0
ENSMUST00000195671,0.1730989
ENSMUST00000193658,5.322488699999999
ENSMUST00000130201,0.114475
ENSMUST00000156816,1.650632
ENSMUST00000045689,16.099535600000003
ENSMUST00000115538,21.4532814
ENSMUST00000195445,0.2693606
ENSMUST00000192286,0.2437424
ENSMUST00000146665,1.3795936000000002
ENSMUST00000132625,0.1356947
ENSMUST00000134384,0.2082253999999999
ENSMUST00000027036,9.1576286
ENSMUST00000150971,0.0
ENSMUST00000155020,1.3169137000000002
ENSMUST00000119612,0.2610432
ENSMUST00000137887,3.6072741
ENSMUST00000115529,0.9219609
ENSMUST00000131119,0.0
ENSMUST00000141278,0.2873856
ENSMUST00000081551,28.2901572
ENSMUST00000165720,0.1671177999999999
ENSMUST00000078030,1.4473103
ENSMUST00000194052,1.097448
