,0
CCL22,177
WNT2,122
TBX3,2307
CD160,43
JUNB,55821
ACE2,69
FOS,233077
IL6ST,3875
COX6C,238
HLA-B,9079
PABPC1,31301
FGF1,76
S100A9,3578
EGR1,147857
S1PR1,9292
SDHA,2066
ARRDC1,2210
EPAS1,45390
LATS2,2189
CTNNB1,10370
ARID1A,8256
DUSP1,51941
KLF2,11988
ACTA2,10446
CD248,893
GPX3,73967
NCOA4,7082
GNB1,15294
DVL1,9853
STAT1,815
PHLDA1,1906
SHARPIN,3850
JUN,38861
LRP1,37214
PDGFRB,19116
MFNG,3532
NOTCH2,2939
CD74,106589
MSH3,1500
APC,978
BRD4,11111
PEA15,8552
INSR,7098
ITGB1,14317
RELA,6983
FLT4,2509
GNAS,26777
HDAC1,3555
TGFBR2,38100
ACE,13094
BMP1,4827
EGFL7,22013
CDKN1A,12054
LZTR1,2215
BTN3A1,1884
CTNNA1,7728
TNFSF10,3588
ETS1,4112
THBD,11582
EPHB3,392
ENG,29669
TLE3,2346
STAT3,4000
VWF,27572
HLA-DRA,9453
WWTR1,7370
JAK1,7079
CCND2,5406
LAMP1,8090
KDR,4723
CCND1,9666
CLEC14A,11834
AMOTL2,4027
HNRNPK,9425
MYH11,1016
BCL2L1,4216
TTF1,424
ITGA1,1557
HIF1A,1269
ERBB2,3041
RBMX,1068
LGALS9,1075
MRAS,2182
SOCS3,23865
RPTOR,4739
NFKBIA,16071
YAP1,4955
CD79A,450
NOTCH1,11218
TGFBR3,18286
ICAM1,8530
SOD2,8962
VHL,992
SERPINE1,16153
PPP3CA,2305
NUMB,3411
EP300,5030
PDGFRA,2805
CLDN5,12385
CASP8,137
HSP90B1,3899
TEAD3,2207
AXIN1,1418
DKK3,1628
DDR2,2070
FOXO1,3273
ELN,7068
CDK4,878
CCND3,14870
TGFB1,2832
TREM2,294
CEBPB,4180
PTPN14,2155
PRKCB,2228
MNT,3043
DAB2IP,8666
HIPK2,5004
FZD1,1870
NOTCH3,7898
IRF3,1967
PECAM1,21865
PLVAP,2285
MMRN2,7447
EPHB4,2493
PDK4,2201
COL1A2,7325
PIK3CB,306
ANGPT2,412
CD36,1240
LLGL2,1150
DLL1,3204
H1-2,2429
PIK3R1,3873
CX3CL1,13690
MITF,2479
TP53,1480
ERG,3779
FYN,6194
HOOK3,2214
BRAF,1058
PRKACA,2525
CHD4,5086
RHOA,4403
NFKB1,2534
NCOR2,28909
VEGFA,10616
NOS3,649
COL3A1,3593
ITGB2,6149
LAMA3,3275
CD79B,191
FZD5,2145
PPP1CC,858
SKP1,1125
HLA-DRB1,3922
SERPINA1,3314
HSD17B6,405
TPM4,7400
CAV1,10021
PBX1,2150
STK4,1963
AMER1,866
MUC1,4307
NES,6967
ATF3,7513
DDX3X,3787
PIK3CA,223
ZBTB16,9471
CD276,896
GZMH,285
PREX2,1684
CD14,3826
IFNGR1,2663
CTBP1,4446
EGFR,3853
ERCC2,373
HLA-A,7940
DUSP6,254
FN1,19198
CD83,2158
CSF1R,2309
ETV1,7613
GATA3,1282
NDUFA4L2,2539
DVL2,1307
CMKLR1,2111
SFRP4,185
BST2,3653
TAPBP,6268
AKT1,5394
SIRPA,3378
Blank-46,31
PDCD1LG2,2927
FGFR1,2091
CSNK1D,3246
COL5A1,3478
CREBBP,14281
FZD8,1741
NRP1,9832
RB1,1037
LGR4,236
KRT7,4421
EXT2,2465
JAK2,1910
TMEM59,459
CD4,1517
EI24,1534
CDH11,8301
MYC,3703
CDH5,4295
EIF4A2,9754
CYBB,2193
STAT6,7443
MAML1,4265
MXI1,863
COL4A1,3163
PDGFB,3477
SPRY2,4749
CSF3R,1805
AKT2,1238
CSF1,3039
HDAC3,1527
NKX2-1,7506
IRS1,2243
ICAM2,2916
RARA,3097
ITGA5,1704
IL7R,6264
PIK3R3,1623
RAC1,690
BAK1,983
CDC42,2380
HRAS,1191
KRT2,39
CXCR1,166
SNW1,3791
HLA-DQB1,171
DHX9,719
HGF,985
VCAM1,190
EXT1,6149
FRAT1,1357
RUNX1,3562
TCF7L2,2430
CDKN1B,2609
MAX,1164
MAML2,2765
MAPKAP1,630
VSIR,2117
WNT5A,497
MAP3K7,314
YTHDF2,2776
CD40,1980
MCM6,438
LRP5,3836
PPARD,2878
NCOR1,1545
THBS2,3395
PIK3C2B,2823
BIRC6,3165
SOST,490
WTIP,38628
HSPA1B,5135
VEGFC,636
MSH2,419
CEACAM1,639
SMO,257
MEN1,1724
BAX,1646
FGFR3,497
ACKR3,496
DNAJB1,5911
ADAMTS4,1171
MAP2K1,714
ERCC3,2250
ROR1,2837
Blank-0,2188
PIN1,1435
MAML3,1861
PRF1,2128
INHBA,415
TEAD4,1360
BTN3A2,3706
IL3RA,602
FBLN1,1895
RBM39,5155
CUL1,760
ANPEP,4164
PIK3CD,407
NFE2L2,2422
ANGPT1,2505
AZGP1,382
PRDM1,5238
CCR5,716
JAG2,628
GNAQ,2800
MTR,2557
EZH1,2274
IL6,732
DLL4,1374
CTDNEP1,1738
PPP3R1,1118
USP10,1775
JAG1,5039
CARD11,1481
CDK2,914
ENTPD1,1383
CIITA,5413
IGF1R,3838
CDK6,758
MMP1,76
NKG7,536
IL6R,3066
SELP,1247
EIF1AX,113
CD5,300
TAP1,3618
XBP1,1909
PRKCA,468
SELL,97
PRKAR1A,5656
Blank-13,92
DTX3L,2503
WNT3A,585
IL21,52
IRS2,10083
SHOC2,300
GSK3B,476
KITLG,984
DDIT3,942
MOB1B,555
MLH1,1103
LIMD1,1724
Blank-37,70
EPHA2,2075
Blank-67,32
CXCL16,934
BCL2,535
XCL1,552
ADAMTS5,535
MET,2999
BMI1,751
Blank-3,2295
TGFB3,1804
PIK3CG,1349
FOXO3,1997
Blank-21,220
HES1,1079
DTX3,1603
CSPG4,2374
TLE1,181
VEGFB,3626
IFNAR1,237
DICER1,544
